index,dong,name_subway,Latitude,Longitude,MF,EF,TF,SF,y
99,마포구,S_망원역,37.5593963,126.9058128,0.42498005,-0.464622,-1.7988,0.5916210047674951,-0.437528581
100,마포구,S_상수역,37.5467114,126.9328565,0.42498005,-0.464622,0.407021,0.7364307528811562,0.076825286
101,마포구,S_신촌역,37.5575088,126.944032,0.42498005,-0.464622,1.568,0.5239658801328665,0.410289992
102,마포구,S_아현역,37.5575088,126.944032,0.42498005,-0.464622,1.71918,0.5239658801328665,0.441366123
103,마포구,S_애오개역,37.5458958,126.9515058,0.42498005,-0.464622,1.73166,0.6480959738880875,0.418519007
104,마포구,S_월드컵경기장역,37.5593963,126.9058128,0.42498005,-0.464622,-0.661313,0.5916210047674951,-0.203709989
105,마포구,S_이대역,37.5575088,126.944032,0.42498005,-0.464622,1.76514,0.5239658801328665,0.45081353
106,마포구,S_합정(2)역,37.552785,126.9186125,0.42498005,-0.464622,1.55261,0.8653912064483791,0.210280754
107,마포구,S_홍대입구역,37.552785,126.9186125,0.42498005,-0.464622,1.55261,0.8653912064483791,0.210280754
108,서대문구,S_충정로(2)역,37.5612786,126.9693213,1.120013473,-1.04531,1.77472,1.1475700284952337,0.367784738
109,서대문구,S_홍제역,37.581817,126.9508662,1.120013473,-1.04531,-0.586097,0.3223257025612041,0.133490421
110,서초구,S_교대(3)역,37.4900549,127.0007641,-0.827545771,0.298805,-4.22385,0.30906681836112815,-1.166150644
111,서초구,S_독립문역,37.581817,126.9508662,1.120013473,-1.04531,1.32515,0.3223257025612041,0.526360918
112,서초구,S_무악재역,37.581817,126.9508662,1.120013473,-1.04531,-0.586097,0.3223257025612041,0.133490421
113,서초구,S_방배역,37.4866882,126.9948792,-0.914682783,-0.109465,-2.56454,0.33192345929948475,-0.949294664
114,서초구,S_서초역,37.4900549,127.0007641,-0.827545771,0.298805,-4.22385,0.30906681836112815,-1.166150644
115,성동구,S_금호역,37.5466746,127.0162448,1.362437045,-0.813787,-0.731638,0.8293179717598078,0.160591045
116,성동구,S_답십리역,37.5636987,127.0582683,1.362437045,-0.813787,0.807842,0.7939499880856765,0.351658565
117,성동구,S_뚝섬역,37.5471773,127.0473802,0.256467418,-0.537383,-3.80379,0.7285392575347717,-0.859397214
118,성동구,S_마장역,37.5663079,127.0369547,1.362437045,-0.813787,1.17273,1.226479361153088,0.398704476
