index,호선,역사명,구,도로명주소,Latitude,Longitude,월임대료 평균,면적 평균,면적 당 임대료,엘리베이터유무,pc1,pc2,pc3
96,4,창동역,도봉구,서울특별시 도봉구 마들로11길 77(창동),37.6531856,127.0481139,5138666.667,30.83333333,166659.4595,0,1.17058,-1.69655,-1.0179
97,4,쌍문역,도봉구,서울특별시 도봉구 도봉로 지하 486-1(창동),37.6703415,127.0407797,0,0,0,0,1.17058,-1.69655,-1.0179
98,4,수유역,강북구,서울특별시 강북구 도봉로 지하338(수유동),37.6315748,127.0278216,5082844.429,16.90285714,300709.187,0,1.20045,-1.63942,-0.228059
99,4,미아역,강북구,서울특별시 강북구 도봉로 지하198(미아동),37.6315748,127.0278216,0,0,0,0,1.20045,-1.63942,-0.228059
100,4,미아사거리역,강북구,서울특별시 강북구 도봉로 지하50(미아동),37.6315748,127.0278216,3403716.526,21.91842105,155290.2245,0,1.20045,-1.63942,-0.228059
101,4,길음역,성북구,서울특별시 성북구 동소문로 지하248(길음동),37.5973535,127.0188961,3724040.5,60.02,62046.65945,0,-1.31044,-0.672619,0.261881
102,4,성신여대입구역,성북구,서울특별시 성북구 동소문로 지하102(동선동4가),37.5973535,127.0188961,2367020,22.76,103999.1213,0,-1.31044,-0.672619,0.261881
103,4,한성대입구역,성북구,서울특별시 성북구 삼선교로 지하1(삼선동1가),37.5884105,127.0103449,0,69.34,0,0,-1.31044,-0.672619,0.261881
104,4,혜화역,종로구,서울특별시 종로구 대학로 지하120(명륜4가),37.5769696,127.0020331,6410000,18.73,342231.7138,0,5.43797,2.23685,-1.13737
105,4,동대문(4)역,종로구,서울특별시 종로구 율곡로 지하308(종로6가),37.574971,126.9981589,3388981.182,23.69083333,143050.3155,0,5.43797,2.23685,-1.13737
106,4,동대문역사문화공원(4)역,중구,서울특별시 중구 장충단로 지하230(광희동2가),37.5599921,127.0053457,4265613,39.295,108553.5819,0,7.57404,3.98087,0.601224
107,4,충무로(4)역,중구,서울특별시 중구 퇴계로 지하214(필동2가),37.5609724,126.9945971,4137056,22.4,184690,0,7.57404,3.98087,0.601224
108,4,명동역,중구,서울특별시 중구 퇴계로 지하126(충무로2가),37.5609724,126.9945971,9605672,26,369448.9231,0,7.57404,3.98087,0.601224
109,4,회현역,중구,서울특별시 중구 퇴계로 지하54(남창동),37.5609724,126.9945971,9326000,44,211954.5455,0,7.57404,3.98087,0.601224
110,4,서울역,용산구,서울특별시 용산구 한강대로 지하392(동자동),37.5516714,126.972922,0,0,0,0,3.29565,-0.684115,-0.732332
111,4,숙대입구역,용산구,서울특별시 용산구 한강대로 지하306(갈월동),37.5516714,126.972922,2270000,17.25,131594.2029,0,3.29565,-0.684115,-0.732332
112,4,삼각지역,용산구,서울특별시 용산구 한강대로 지하180(한강로1가),37.5516714,126.972922,0,0,0,0,3.29565,-0.684115,-0.732332
113,4,신용산역,용산구,서울특별시 용산구 한강대로 지하112(한강로2가),37.5516714,126.972922,1218430,17.77363636,68552.65717,0,3.29565,-0.684115,-0.732332
114,4,이촌역,용산구,서울특별시 용산구 서빙고로 지하83(용산동5가),37.5231023,126.9844401,1375427,20.65,66606.63438,0,3.29565,-0.684115,-0.732332
115,4,동작역,동작구,서울특별시 동작구 현충로 257(동작동),37.5034647,126.9799265,3335000,15.58333333,214010.6952,0,-0.0745646,-1.48728,1.57093
116,4,총신대입구역,동작구,서울특별시 동작구 동작대로 지하117(사당동),37.4859712,126.9815356,2259066.813,20.45,110467.8148,0,-0.0745646,-1.48728,1.57093
117,4,사당(4)역,동작구,서울특별시 동작구  동작대로 지하3(사당동),37.4859712,126.9815356,9966788.739,89.668,111152.1249,0,-0.0745646,-1.48728,1.57093
118,4,남태령역,서초구,서울특별시 서초구 과천대로 지하816(방배동),37.4714316,126.9832228,0,0,0,0,-0.746933,3.02472,0.773993
119,5,방화역,강서구,서울특별시 강서구 금낭화로 지하132(방화동),37.5746758,126.811399,3698510,35.265,104877.6407,0,-4.16236,1.24139,0.620214
120,5,개화산역,강서구,서울특별시 강서구 양천로 22(방화동),37.5722225,126.8059564,4085152,30,136171.7333,0,-4.16236,1.24139,0.620214
121,5,김포공항역,강서구,서울특별시 강서구 하늘길 지하77(방화동),37.5551049,126.8058738,3832112.583,43.97076923,87151.36556,0,-4.16236,1.24139,0.620214
122,5,송정역,강서구,서울특별시 강서구 공항대로 지하33(공항동),37.5533338,126.8510294,2624666.667,34.88,75248.47096,0,-4.16236,1.24139,0.620214
123,5,마곡역,강서구,서울특별시 강서구 공항대로 지하163(마곡동),37.5533338,126.8510294,0,0,0,0,-4.16236,1.24139,0.620214
124,5,발산역,강서구,서울특별시 강서구 공항대로 지하267(마곡동),37.5533338,126.8510294,5292201,28.72666667,184226.0733,0,-4.16236,1.24139,0.620214
125,5,우장산역,강서구,서울특별시 강서구 강서로 지하262(화곡동),37.5535944,126.8412653,2503157.333,26.01333333,96225.93542,0,-4.16236,1.24139,0.620214
126,5,화곡역,강서구,서울특별시 강서구 화곡로 지하168(화곡동),37.5488694,126.8451583,9730662.5,49.69,195827.3798,0,-4.16236,1.24139,0.620214
127,5,까치산(5)역,강서구,서울특별시 강서구 강서로 지하54(화곡동),37.5535944,126.8412653,9895870.25,27.21111111,363670.2011,0,-4.16236,1.24139,0.620214
