역사명,Latitude,Longitude,면적 평균,면적 당 임대료,pc1,pc2,pc3
광흥창역,37.5467114,126.9328565,79.5,44893.23899,0.201913,0.109845,-1.32146
대흥역,37.5505968,126.9429055,37.22333333,171409.5147,0.201913,0.109845,-1.32146
공덕(6)역,37.5495268,126.9414508,47.85714286,174320.502,0.201913,0.109845,-1.32146
효창공원앞역,37.5383394,126.9654883,39,93472.75213,3.29565,-0.684115,-0.732332
삼각지(6)역,37.5516714,126.972922,94,46005.49468,3.29565,-0.684115,-0.732332
녹사평역,37.5345491,126.9899665,40,217190.225,3.29565,-0.684115,-0.732332
이태원역,37.5340548,126.9950167,26,278322.2051,3.29565,-0.684115,-0.732332
한강진역,37.5340548,126.9950167,57.5,71169.95943,3.29565,-0.684115,-0.732332
버티고개역,37.5584387,127.0119475,26,0,7.57404,3.98087,0.601224
약수(6)역,37.5584387,127.0119475,56,188652.2857,7.57404,3.98087,0.601224
청구역,37.5608109,127.0137038,0,0,7.57404,3.98087,0.601224
신당(6)역,37.5584387,127.0119475,53.60571429,81080.40765,7.57404,3.98087,0.601224
동묘앞(6)역,37.5762104,127.0152403,36.75,93325.87755,5.43797,2.23685,-1.13737
창신역,37.5762104,127.0152403,28,96041.14286,5.43797,2.23685,-1.13737
보문역,37.5866336,127.0181024,30.49,103132.8058,-1.31044,-0.672619,0.261881
안암역,37.590403,127.035926,31.31285714,161427.3644,-1.31044,-0.672619,0.261881
고려대역,37.602119,127.0332133,39.68,267211.2903,-1.31044,-0.672619,0.261881
월곡역,37.5965761,127.0389176,40.40428571,130089.1101,-1.31044,-0.672619,0.261881
상월곡역,37.6052866,127.0403349,66.7,64453.92804,-1.31044,-0.672619,0.261881
돌곶이역,37.6052866,127.0403349,33.68571429,178247.4448,-1.31044,-0.672619,0.261881
석계역,37.6245739,127.0830557,34.475,330060.7832,-3.54654,0.0328271,0.928053
태릉입구(6)역,37.6562713,127.0624069,44.274,48664.8999,-3.54654,0.0328271,0.928053
화랑대역,37.6245739,127.0830557,34.22857143,92894.27379,-3.54654,0.0328271,0.928053
봉화산역,37.6083906,127.0954925,56.2,42943.56228,0.00990203,-1.85906,0.310581
신내역,37.6115753,127.1077606,0,0,0.00990203,-1.85906,0.310581
도봉산역,37.6890803,127.046509,39.33333333,28578.86441,1.17058,-1.69655,-1.0179
수락산역,37.6562713,127.0624069,46.35875,51746.36935,-3.54654,0.0328271,0.928053
마들역,37.6562713,127.0624069,44.88473684,39657.25323,-3.54654,0.0328271,0.928053
노원(7)역,37.6562713,127.0624069,34.56136364,252064.8062,-3.54654,0.0328271,0.928053
중계역,37.6562713,127.0624069,50.44428571,77561.5474,-3.54654,0.0328271,0.928053
하계역,37.6562713,127.0624069,43.37555556,117206.714,-3.54654,0.0328271,0.928053
공릉역,37.6562713,127.0624069,34.70166667,104084.7221,-3.54654,0.0328271,0.928053
태릉입구(7)역,37.6562713,127.0624069,44.2675,111163.4438,-3.54654,0.0328271,0.928053
먹골역,37.6042971,127.0780346,41.62571429,70198.9155,0.00990203,-1.85906,0.310581
중화역,37.6042971,127.0780346,44.33307692,116126.3341,0.00990203,-1.85906,0.310581
상봉역,37.5967056,127.0860055,57.93857143,112899.6696,0.00990203,-1.85906,0.310581
면목역,37.5841989,127.0866148,44.72142857,128227.2687,0.00990203,-1.85906,0.310581
사가정역,37.5808016,127.0875826,54.38818182,180902.1036,0.00990203,-1.85906,0.310581
용마산역,37.5917707,127.0945783,47.68571429,80096.21869,0.00990203,-1.85906,0.310581
중곡역,37.5486706,127.0759024,35.5375,89204.78368,0.295592,-1.62693,-1.79417
군자(7)역,37.5538892,127.0857152,38.72214286,233524.8344,0.295592,-1.62693,-1.79417
어린이대공원역,37.5486706,127.0759024,40.60818182,135671.3636,0.295592,-1.62693,-1.79417
건대입구(7)역,37.5486706,127.0759024,146.625,88264.16798,0.295592,-1.62693,-1.79417
뚝섬유원지역,37.5319161,127.0669943,29.89,176058.8826,0.295592,-1.62693,-1.79417
청담역,37.5148554,127.033969,57.71375,73891.56364,-3.29149,5.53299,-1.46002
강남구청역,37.5148554,127.033969,94.28571429,60272.90035,-3.29149,5.53299,-1.46002
학동역,37.5148554,127.033969,37.18466667,183445.4966,-3.29149,5.53299,-1.46002
논현역,37.5148554,127.033969,39.95785714,111351.9711,-3.29149,5.53299,-1.46002
반포역,37.5060582,127.0033885,226.07,26966.80674,-0.746933,3.02472,0.773993
고속터미널(7)역,37.5060582,127.0033885,172.4508333,149546.9564,-0.746933,3.02472,0.773993
내방역,37.4900549,127.0007641,37.99833333,137539.0535,-0.746933,3.02472,0.773993
이수(7)역,37.4874957,126.9718515,82.4625,167235.4767,-0.0745646,-1.48728,1.57093
남성역,37.4874957,126.9718515,36.75,151398.7755,-0.0745646,-1.48728,1.57093
숭실대입구역,37.4997186,126.9414329,43.75125,76039.31602,-0.0745646,-1.48728,1.57093
상도역,37.4997186,126.9414329,49.554,145610.9133,-0.0745646,-1.48728,1.57093
장승배기역,37.4997186,126.9414329,49.1,110303.8289,-0.0745646,-1.48728,1.57093
신대방삼거리역,37.4997186,126.9414329,42.87916667,127892.8773,-0.0745646,-1.48728,1.57093
보라매역,37.4997186,126.9414329,34.145,138168.6484,-0.0745646,-1.48728,1.57093
신풍역,37.5001939,126.9128486,37.4775,111281.3488,0.90948,1.15866,3.80037
대림(7)역,37.5050273,126.8975225,37.165,226216.5568,0.90948,1.15866,3.80037
남구로역,37.488497,126.8904141,39.96833333,140505.4085,-0.190459,-0.776803,0.00457076
가산디지털단지역,37.4822545,126.8821832,42.496,214300.3694,3.27346,-0.972953,-0.501512
천왕역,37.4943867,126.8325917,468.66,7887.114326,-0.190459,-0.776803,0.00457076
온수역,37.4916055,126.8232976,47.20142857,68864.22929,-0.190459,-0.776803,0.00457076
암사역,37.5486728,127.1275525,30.7275,187458.4249,-0.970207,-0.899822,-0.603726
천호역,37.538274,127.14567,0,0,-0.970207,-0.899822,-0.603726
강동구청역,37.5486728,127.1275525,37.775,119386.7814,-0.970207,-0.899822,-0.603726
몽촌토성역,37.5213517,127.1026097,36,207997.7222,-5.82448,1.94447,-1.11111
잠실(8)역,37.5149545,127.1042019,79.98807692,1024871.495,-5.82448,1.94447,-1.11111
석촌역,37.4856859,127.1193237,34,180600.4706,-5.82448,1.94447,-1.11111
송파역,37.4856859,127.1193237,29.675,121819.3092,-5.82448,1.94447,-1.11111
가락시장(8)역,37.4856859,127.1193237,32.01,112973.11,-5.82448,1.94447,-1.11111
